DateTime,3rd and Broadway
10/18/23 0:00,1155
10/19/23 0:00,815
10/20/23 0:00,985
10/21/23 0:00,760
10/22/23 0:00,505
10/23/23 0:00,520
10/24/23 0:00,770
10/25/23 0:00,700
10/26/23 0:00,740
10/27/23 0:00,865
10/28/23 0:00,825
10/29/23 0:00,325
10/30/23 0:00,255
10/31/23 0:00,415
11/1/23 0:00,410
11/2/23 0:00,640
11/3/23 0:00,715
11/4/23 0:00,830
11/5/23 0:00,1225
11/6/23 0:00,720
11/7/23 0:00,565
11/8/23 0:00,450
11/9/23 0:00,465
11/10/23 0:00,570
11/11/23 0:00,655
11/12/23 0:00,555
11/13/23 0:00,910
11/14/23 0:00,690
11/15/23 0:00,720
11/16/23 0:00,805
11/17/23 0:00,845
11/18/23 0:00,760
