DateTime,Max's House,Building 9,temp,feelslike,dew,humidity,precip,windspeed,cloudcover,visibility,conditions,description
10/18/23 0:00,81.5,60.5,64.3,64.3,60.6,88.1,0.0,9.9,60.3,5.7,Partially cloudy,Clearing in the afternoon.
10/19/23 0:00,69.5,63.5,64.4,64.4,60.4,87.3,0.0,7.5,42.5,5.6,Partially cloudy,Clearing in the afternoon.
10/20/23 0:00,69.5,63.0,67.5,67.5,60.2,78.8,0.0,9.9,3.4,8.1,Clear,Clear conditions throughout the day.
10/21/23 0:00,45.5,52.5,66.8,66.8,57.1,71.9,0.0,13.4,0.9,9.9,Clear,Clear conditions throughout the day.
10/22/23 0:00,24.0,27.0,63.8,63.8,57.0,79.1,0.0,11.6,31.2,9.9,Partially cloudy,Becoming cloudy in the afternoon.
10/23/23 0:00,24.0,24.5,66.0,66.0,56.7,72.6,0.0,8.4,53.9,9.9,Partially cloudy,Partly cloudy throughout the day.
10/24/23 0:00,43.0,50.5,64.3,64.3,57.3,78.4,0.0,10.4,44.6,9.9,Partially cloudy,Clearing in the afternoon.
10/25/23 0:00,39.0,45.5,66.0,66.0,57.8,75.3,0.0,11.0,86.7,9.8,Partially cloudy,Partly cloudy throughout the day.
10/26/23 0:00,34.5,43.5,64.3,64.3,55.7,74.1,0.0,12.8,27.8,9.9,Partially cloudy,Clearing in the afternoon.
10/27/23 0:00,44.5,51.0,62.5,62.5,53.8,73.9,0.0,11.9,21.8,9.9,Partially cloudy,Partly cloudy throughout the day.
10/28/23 0:00,45.5,53.0,61.4,61.4,52.7,73.7,0.0,10.3,6.6,9.9,Clear,Clear conditions throughout the day.
10/29/23 0:00,11.5,21.5,65.9,65.9,28.0,37.0,0.0,13.6,0.1,9.9,Clear,Clear conditions throughout the day.
10/30/23 0:00,12.0,16.0,65.9,65.8,23.6,22.8,0.0,12.2,1.6,9.9,Clear,Clear conditions throughout the day.
10/31/23 0:00,18.0,19.0,67.7,67.6,21.0,18.4,0.0,8.0,1.7,9.9,Clear,Clear conditions throughout the day.
11/1/23 0:00,18.5,20.0,69.1,68.5,22.3,19.1,0.0,8.1,3.5,9.9,Clear,Clear conditions throughout the day.
11/2/23 0:00,44.5,48.0,65.9,65.9,35.0,35.9,0.0,7.7,1.7,9.9,Clear,Clear conditions throughout the day.
11/3/23 0:00,59.5,61.5,62.1,62.1,46.4,60.8,0.0,7.5,23.0,8.3,Partially cloudy,Partly cloudy throughout the day.
11/4/23 0:00,86.5,93.5,61.2,61.2,53.5,77.9,0.0,7.3,35.0,7.1,Partially cloudy,Partly cloudy throughout the day.
11/5/23 0:00,94.0,98.0,61.8,61.8,53.3,75.4,0.0,8.5,10.2,8.2,Clear,Clear conditions throughout the day.
11/6/23 0:00,40.5,55.0,62.6,62.6,56.4,80.9,0.0,8.5,44.7,8.8,Partially cloudy,Partly cloudy throughout the day.
11/7/23 0:00,19.5,23.0,64.5,64.5,52.3,66.8,0.0,12.7,38.7,9.9,Partially cloudy,Clearing in the afternoon.
11/8/23 0:00,9.0,10.5,67.1,67.1,32.7,32.6,0.0,12.6,1.4,9.9,Clear,Clear conditions throughout the day.
11/9/23 0:00,5.0,5.0,69.0,69.0,19.3,15.5,0.0,12.3,2.1,9.9,Clear,Clear conditions throughout the day.
11/10/23 0:00,32.5,32.5,61.3,61.3,31.8,36.8,0.0,8.4,4.0,9.9,Clear,Clear conditions throughout the day.
11/11/23 0:00,56.0,53.0,61.1,61.1,35.9,42.9,0.0,7.8,0.9,9.9,Clear,Clear conditions throughout the day.
11/12/23 0:00,39.5,43.5,65.8,65.7,32.4,32.3,0.0,7.5,1.5,9.9,Clear,Clear conditions throughout the day.
11/13/23 0:00,62.0,65.5,61.1,61.1,42.6,53.0,0.0,8.0,4.7,9.7,Clear,Clear conditions throughout the day.
11/14/23 0:00,54.5,57.0,60.5,60.5,42.9,55.2,0.0,8.5,2.9,9.9,Clear,Clear conditions throughout the day.
11/15/23 0:00,59.5,59.0,59.6,59.6,46.2,65.0,0.199,7.2,81.6,8.2,Rain, Partially cloudy and Partly cloudy throughout the day with rain.
11/16/23 0:00,47.5,56.0,62.5,62.5,56.6,82.0,0.0,9.6,56.5,9.4,Partially cloudy,Partly cloudy throughout the day.
11/17/23 0:00,57.0,62.0,62.2,62.2,55.1,78.5,0.0,10.2,30.8,9.6,Partially cloudy,Becoming cloudy in the afternoon.
11/18/23 0:00,19.5,28.5,63.7,63.7,58.1,82.3,0.01,9.3,81.4,9.7,Rain, Partially cloudy and Partly cloudy throughout the day with early morning rain.
